tb_id_BTR,Area_vsp,work_place_fl,Staff_F_ruk,Staff_F_sochl,Staff_F_mp,Staff_F_kbp,Staff_F_mik,Staff_F_premier,Staff_F_vip,Staff_F_dsa,Staff_F_all,y,m,vsp,tb,osb_id_BTR,Subject_name,City_name,Latitude,Longitude,Unit_type,Business_format,Ownership_type,Format_state,work_days,hours,hours_by_day,MTG_1MIK_1_work_day,UP_1MIK_1_work_day,PK_1MP_1_work_day,depo_1MP_1_work_day,CC_1MP_1_work_day,DC_1MP_1_work_day,UP_1MP_1_work_day,UKO_1KBP_1_work_day,UP_1KBP_1_work_day,depo_1SOCHL_1_work_day,DC_1SOCHL_1_work_day,Cash_Pay_1SOCHL_1_WD,NСash_Pay_1SOCHL_1_WD,Cash_Trans_1SOCHL_1_WD,NCash_Trans_1SOCHL_1_WD,Cash_in_out_1SOCHL_1_WD,Transactions_TOTAL_1SOCHL_1_WD,conv_client_flow_MP_PK,conv_client_flow_MP_Depo,conv_client_flow_MP_Cards,conv_client_flow_SOCHL_nci,UTS_MP,UTS_sochl,AST_MP,AST_sochl,AWT_MP,AWT_sochl,potreb_amount_br,potreb_npv_br,potreb_npv_amount,mortg_amount_br,mortg_npv_br,mortg_npv_amount,base_amount_br,base_npv_br,base_npv_amount,lider_amount_br,lider_npv_br,lider_npv_amount,special_amount_br,special_npv_br,special_npv_amount,current_amount_br,current_npv_br,current_npv_amount,CC_credit_limit_br,CC_loan_indebtedness_br,CC_npv_br,CC_npv_loan_indebtedness,DC_turnover_br,DC_balance_of_own_funds_br,DC_npv_br,DC_npv_balance_of_own_funds,NPV_sales_1MP,NPV_sales_1MIK,NPV_sales_1RVSP,NPV_sales_1SOCHL,rent_by_space,fact_area_by_WP,norm_area_by_WP,fact_norm_area_by_WP,area_by_staff,F_S_staff,opex_staff,salary_staff_all,salary_staff_ruk,salary_staff_MP,salary_staff_MIK,salary_staff_KBP,salary_staff_SOCHL,P_serv_br,NPV_products_br,nci_br,serv_inc_br,serv_trans_total,serv_time_by_1_trans,SOCHL_cost_1_min,serv_marg,L_br,EVA_serv_br,EVA_br,EVA_L,EVA_staff,EVA_area,convert_sal_EVA_MIK,convert_sal_EVA_MP,convert_sal_EVA_KBP,convert_sal_EVA_SOCHL,tec1,tec2,tec3,tec4,tec5,tec6,tec7,CF_MP_total,CF_MP_PK,CF_MP_Mort,CF_MP_Deposits,CF_MP_Cards,CF_SOCHL_total
40,,,,,,,,,,,,2017,3,Брянское Головное отделение №8605,Среднерусский банк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,2017,3,Видновское отделение №1002,Среднерусский банк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,2017,3,Восточное Головное отделение №1023,Среднерусский банк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,2017,3,Дмитровское отделение №1003,Среднерусский банк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,193,18,2,8,4,3,,,,,17,2017,3,Доп.офис №8604/01,Среднерусский банк,8604,Тульская область,Тула,54.219017,37.626068,ДО ФЛ,Бизнес-офис,Собственность банка,Да,25,272.3274984359741,10.8931,,,1.01,4.2600002,.56,7.2800002,5.3590999,21.986666,2.3609333,,.26499999,63.040001,18.934999,.75,1.39,17.610001,102.515,.29705882,.60169494,.61442006,58.521179,.58999997,.60000002,10.61,3.29,2.3199999,3.0999999,186.65102,11.796916,.063203067,,,,237.37238,2.7177801,.011449438,,,,,,,105.98346,8.7876997,.082915768,33.464699,7.2297802,.4439286,.061402779,19.6222,7.4974999,3.696002,.4929646,1214.5653,,11.468674,89.435226,-594.7901,10.722222,21,.51058203,11.352942,.98837209,-110095.68,-91892.641,-162810.05,-77493.422,,-70305.055,-91075.023,7204.0488,4243.5176,1065.755,1894.7765,84412,3.3559539,5.5738664,.2,-2584.1563,4619.8931,2725.1162,1.0545478,160.30095,14.119773,,14.685223,-1.0071321,.022100169,,,,,,,,2369,340,45,708,1276,11051
40,163.7,13,2,5,3,3,,,,,13,2017,3,Доп.офис №8604/0102,Среднерусский банк,8604,Тульская область,Тула,54.201996,37.641453,ДО ФЛ,Бизнес-офис,Собственность банка,Нет,26,255.6933332122862,9.8343592,,,.71794873,2.974359,.91025639,9.2435894,4.893846,13.256411,1.3797436,,.0076923077,41.469231,16.76923,1.0923077,1.1615385,23.376923,84.592308,.22400001,.42962962,.62608695,56.999336,.55000001,.49000001,10.28,3.2,3.1900001,2.49,223.32649,11.562817,.051775392,,,,249.35893,2.97141,.011916197,,,,,,,259.29852,21.533701,.083045982,33.464699,7.2297802,.4439286,.061402779,19.6222,7.4974999,3.696002,.4929646,1295.874,,58.669926,86.445549,-737.27997,12.592307,21,.59963369,12.592307,1.0833334,-97293.789,-76754.25,-120156.13,-86718.078,,-46337.746,-74624.352,5130.2656,2830.647,694.41693,1605.2014,82659,3.3269649,4.8641829,.2,-1742.2469,3388.0186,1782.817,1.0232861,137.13977,10.890758,,13.954044,-1.1546057,.13821812,,,,,,,,2071,250,16,540,1265,9388
40,570.59998,11,2,4,3,1,6,,,,16,2017,3,Доп.офис №8604/0110,Среднерусский банк,8604,Тульская область,Тула,54.19318,37.611073,ДО ФЛ,Бизнес-офис,Собственность банка,Да,22,210.628060720861,9.5740032,1.2121212,4.5792422,.80303031,1.9545455,1.3484849,9.69697,5.3818183,38.31818,3.5518181,,.090909094,14.136364,21.352272,.52272725,3.2954545,18.136364,57.875,.30994153,.64499998,.67375231,90.2798,.47,.40000001,9.5100002,3.5,2.0999999,2.3399999,269.02551,16.369316,.060846705,1307.0491,45.064453,.034478012,272.14462,3.00266,.011033325,,,,,,,305.2435,23.3386,.076458961,33.464699,7.2297802,.4439286,.061402779,19.6222,7.4974999,3.696002,.4929646,1211.9489,1201.7188,17.075937,95.739822,-341.87155,51.872726,21,2.4701297,35.662498,1.6,-156709.16,-126919.83,-270534.28,-189944.78,,-170808.05,-188379.19,12042.514,6604.1475,1208.0146,4230.3521,70226,3.3676887,14.906148,.2,-3586.5935,8455.9199,4225.5684,1.1781565,264.09802,7.4054828,,5.4550676,-.93952185,-.41827857,,,,,,,,1480,171,27,200,1082,4893
40,323.70001,17,2,7,4,3,,,,,16,2017,3,Доп.офис №8604/0114,Среднерусский банк,8604,Тульская область,Тула,54.180084,37.604015,ДО ФЛ,Бизнес-офис,Аренда (субаренда),Да,26,249.6177750900388,9.6006832,,,.45192307,2.5192308,.45192307,7.9230771,4.1557693,15.371795,1.6844872,,,17.489012,13.423077,.80769229,1.1758242,18.725275,52.17033,.187251,.46619216,.63950074,64.547348,.47999999,.51999998,9.8000002,3.5899999,2.29,3.5799999,212.89725,12.270316,.05763492,,,,286.7193,3.67943,.012832865,,,,,,,106.3501,8.9081097,.083762117,33.464699,7.2297802,.4439286,.061402779,19.6222,7.4974999,3.696002,.4929646,1121.4163,,64.178307,71.083229,-1446.8999,19.041178,21,.90672272,20.231251,1,-136477.03,-81999.023,-100783.07,-88691.875,,-60284.398,-82092.805,6040.8481,3372.0923,1036.7761,1631.9795,73367,3.38185,5.4812341,.2,-2670.479,3370.3689,1738.3895,.65096545,108.64935,5.3703723,,11.352567,-1.5229467,-.4650034,,,,,,,,2207,251,32,562,1362,9636
40,467.79999,21,3,7,4.4,2,,4,,,20.4,2017,3,Доп.офис №8604/0115,Среднерусский банк,8604,Тульская область,Тула,54.211372,37.667168,ДО ФЛ,Бизнес-офис,Аренда (субаренда),Да,26,271.525842666626,10.443301,,,.71678323,2.4912589,1.048951,7.4737763,4.3128495,20.365385,2.0778847,,.0054945056,11.873627,22.093407,.70329672,2.3736265,17.961538,55.774727,.24624625,.42035398,.55147058,47.630554,.52999997,.44,10.1,3.4000001,2.96,3.1400001,163.29623,11.149616,.068278462,,,,298.34711,3.66171,.012273322,,,,2210.9912,14.4416,.0065317312,16.708776,1.33369,.079819731,33.464699,7.2297802,.4439286,.061402779,19.6222,7.4974999,3.696002,.4929646,1134.4966,,22.93643,57.873287,-2193.7261,22.27619,21,1.060771,22.931372,1.02,-169307.58,-94193.672,-177254.75,-65924.469,,-64086.637,-81972.609,6460.3979,3857.9924,991.23956,1611.166,79486,3.3570828,5.0316024,.2,-3760.6667,2699.7312,1088.5653,.28946072,53.361046,2.3269887,,15.497522,-1.7376543,-.82705569,,,,,,,,2817,333,38,678,1768,10523
40,278.5,19,2,8,4,4,,,,,18,2017,3,Доп.офис №8604/0116,Среднерусский банк,8604,Тульская область,Тула,54.215847,37.602509,ДО ФЛ,Бизнес-офис,Собственность банка,Да,26,280.1947240829468,10.77672,,,.71153843,3.1826923,.55769229,6.8173075,4.1450963,19.173077,2.1506732,,,61.52404,20.216347,.68269229,1.3221154,16.115385,100.52885,.20786516,.38668224,.54166669,45.535427,.56,.60000002,9.4399996,3.1800001,3.53,3.0899999,214.7417,13.312917,.061995022,,,,242.62053,2.8363099,.011690313,,,,,,,351.39896,29.2983,.083376169,33.464699,7.2297802,.4439286,.061402779,19.6222,7.4974999,3.696002,.4929646,1099.8142,,153.44841,66.609222,-737.27997,14.657895,21,.69799501,15.472222,1,-112070.39,-80860.789,-173159.17,-80553.578,,-63955.328,-67227.5,5995.7578,3784.741,1089.5894,1121.4276,69673,3.3542063,3.9988556,.2,-2618.1877,3377.5703,2256.1428,.86171925,125.34127,8.1010513,,12.54325,-1.1903925,-.18058762,,,,,,,,2660,356,32,856,1416,14628
