Дата|Регион|Показатель
15.01.2014|Россия|1449002
15.02.2014|Россия|1530828
15.03.2014|Россия|1499875
15.04.2014|Россия|1532642
15.05.2014|Россия|1417949
15.06.2014|Россия|1400779
15.07.2014|Россия|1577251
15.08.2014|Россия|1516023
15.09.2014|Россия|1573221
15.10.2014|Россия|1962323
15.11.2014|Россия|1814392
15.12.2014|Россия|4732173
15.01.2015|Россия|2717430
15.02.2015|Россия|2674280
15.03.2015|Россия|2941835
15.04.2015|Россия|2322250
15.05.2015|Россия|1629479
15.06.2015|Россия|1711677
15.07.2015|Россия|1680998
15.08.2015|Россия|1654559
15.09.2015|Россия|1750921
15.10.2015|Россия|1996707
15.11.2015|Россия|1671175
15.12.2015|Россия|2520603
15.01.2016|Россия|1934224
15.02.2016|Россия|1968465
15.03.2016|Россия|2049717
15.04.2016|Россия|1644033
15.05.2016|Россия|1619686
15.06.2016|Россия|1637342
15.07.2016|Россия|1426933
15.08.2016|Россия|1448797
15.09.2016|Россия|1640597
15.10.2016|Россия|2183767
15.11.2016|Россия|2034553
15.12.2016|Россия|2205138
15.01.2017|Россия|1549081
15.02.2017|Россия|1478934
15.03.2017|Россия|1788260
15.04.2017|Россия|2117877
15.01.2014|Алтайский край|27814
15.02.2014|Алтайский край|28979
15.03.2014|Алтайский край|28939
15.04.2014|Алтайский край|27852
15.05.2014|Алтайский край|24941
15.06.2014|Алтайский край|23385
15.07.2014|Алтайский край|27011
15.08.2014|Алтайский край|26144
15.09.2014|Алтайский край|26147
15.10.2014|Алтайский край|30212
15.11.2014|Алтайский край|28135
15.12.2014|Алтайский край|71373
15.01.2015|Алтайский край|41045
15.02.2015|Алтайский край|45098
15.03.2015|Алтайский край|53347
15.04.2015|Алтайский край|39372
15.05.2015|Алтайский край|28738
15.06.2015|Алтайский край|29247
15.07.2015|Алтайский край|28502
15.08.2015|Алтайский край|29177
15.09.2015|Алтайский край|34761
15.10.2015|Алтайский край|39439
15.11.2015|Алтайский край|32320
15.12.2015|Алтайский край|43134
15.01.2016|Алтайский край|34711
15.02.2016|Алтайский край|35345
15.03.2016|Алтайский край|37932
15.04.2016|Алтайский край|30940
15.05.2016|Алтайский край|29910
15.06.2016|Алтайский край|30763
15.07.2016|Алтайский край|26817
15.08.2016|Алтайский край|27114
15.09.2016|Алтайский край|29336
15.10.2016|Алтайский край|36244
15.11.2016|Алтайский край|35690
15.12.2016|Алтайский край|40161
15.01.2017|Алтайский край|29966
15.02.2017|Алтайский край|25567
15.03.2017|Алтайский край|30480
15.04.2017|Алтайский край|35664
15.01.2014|Амурская область|4934
15.02.2014|Амурская область|4562
15.03.2014|Амурская область|4350
15.04.2014|Амурская область|4548
15.05.2014|Амурская область|4128
15.06.2014|Амурская область|4021
15.07.2014|Амурская область|5111
15.08.2014|Амурская область|4512
15.09.2014|Амурская область|5012
15.10.2014|Амурская область|6219
15.11.2014|Амурская область|5929
15.12.2014|Амурская область|16736
15.01.2015|Амурская область|11371
15.02.2015|Амурская область|10693
15.03.2015|Амурская область|13320
15.04.2015|Амурская область|9297
15.05.2015|Амурская область|6330
